uuid,Primary_Author,Title,Published,Page,DocType,Culture,Region,Subregion,Subsistence,OCM,IDs,Permalink,769 - Cult of the Dead,771 - General Character of Religion,772 - Cosmology,773 - Mythology,774 - Animism,775 - Eschatology,776 - Spirits and Gods,777 - Luck and Chance,778 - Sacred Objects and Places,779 - Theological Systems,787 - Revelation and Divination,match_flag
f1be2ff1-37db-491b-8f29-f40521fcdfcc,"Schultz, James Willard, 1859-1947","Blackfeet and buffalo: memories of life among the
         Indians",1962,191,Monograph,Blackfoot,North America,Plains and Plateau,hunter-gatherers,,"177,721,778",https://ehrafworldcultures.yale.edu/sres/f1be2ff1-37db-491b-8f29-f40521fcdfcc,0,0,0,0,0,0,0,0,1,0,0,False
3beafa6b-e5dc-4af0-bda6-8a58aabf853b,"Grinnell, George Bird, 1849-1938","Pawnee hero stories and folk-tales, with notes on the origin,
         customs and character of the Pawnee people",1889,358,Monograph,Pawnee,North America,Plains and Plateau,other subsistence combinations,,"778,782,825",https://ehrafworldcultures.yale.edu/sres/3beafa6b-e5dc-4af0-bda6-8a58aabf853b,0,0,0,0,0,0,0,0,1,0,0,False
3454826e-8a8c-43d0-bfe5-9c637e10e4b1,"Petit, Robert",The Annamese monarchy,1931,105-106,"Component part(s), monograph",Vietnamese,Asia,Southeast Asia,intensive agriculturalists,,"116,643,769",https://ehrafworldcultures.yale.edu/sres/3454826e-8a8c-43d0-bfe5-9c637e10e4b1,1,0,0,0,0,0,0,0,0,0,0,False
4545aafc-0537-471b-8277-9bac7403e319,"Tschopik, Harry Jr.","The Aymara of Chucuito, Peru: 1. Magic",1951,[p. 239 b],Monograph,Aymara,South America,Central Andes,horticulturalists,,"778,789,842",https://ehrafworldcultures.yale.edu/sres/4545aafc-0537-471b-8277-9bac7403e319,0,0,0,0,0,0,0,0,1,0,0,False
6f972605-f00f-489b-9973-b9ce19dca3a0,"Rongmuthu, Dewansingh Shangma",The folk-tales of the Garos,1960,167,Monograph,Garo,Asia,South Asia,horticulturalists,,"103,133,539,773",https://ehrafworldcultures.yale.edu/sres/6f972605-f00f-489b-9973-b9ce19dca3a0,0,0,0,1,0,0,0,0,0,0,0,False
d2efa5a9-e55f-43f9-8af9-14ed570fe196,"Malotki, Ekkehart",Maasaw: profile of a Hopi god,1987,95,Monograph,Hopi,North America,Southwest and Basin,intensive agriculturalists,,"773,776,902",https://ehrafworldcultures.yale.edu/sres/d2efa5a9-e55f-43f9-8af9-14ed570fe196,0,0,0,1,0,0,1,0,0,0,0,False
da01b3d7-0568-41b2-9527-7b9cb25be7d6,"Schram, Louis, 1883-","The Monguors of the Kansu-Tibetan frontier: Part II. their
         religious life",1957,[p. 152(B)],Monograph,Monguor,Asia,East Asia,intensive agriculturalists,,"171,776",https://ehrafworldcultures.yale.edu/sres/da01b3d7-0568-41b2-9527-7b9cb25be7d6,0,0,0,0,0,0,1,0,0,0,0,False
fc3c486d-af03-47d5-b89c-8df12f9443ef,"Terwiel, B. J.","Monks and magic: an analysis of religious ceremonies in
         central Thailand",1975,87,Monograph,Central Thai,Asia,Southeast Asia,intensive agriculturalists,,"304,778,789",https://ehrafworldcultures.yale.edu/sres/fc3c486d-af03-47d5-b89c-8df12f9443ef,0,0,0,0,0,0,0,0,1,0,0,False
f71fde38-4c98-4929-98c6-89a200b44443,"Walleser, Sixtus","Religious views and customs of the inhabitants of Yap (German
         South Seas)",1913,49,Journal Article,Yapese,Oceania,Micronesia,other subsistence combinations,,"778,821,823",https://ehrafworldcultures.yale.edu/sres/f71fde38-4c98-4929-98c6-89a200b44443,0,0,0,0,0,0,0,0,1,0,0,False
ba61bee0-0f21-45cf-a6a0-d69d2e57ca0d,"Nadel, S. F. (Siegfried Frederick),
            1903-1956","The Nuba: an anthropological study of the hill tribes in
            Kordofan",1947,441,Monograph,Nuba,Africa,Eastern Africa,intensive agriculturalists,,"474,771,774,782,787,000",https://ehrafworldcultures.yale.edu/sres/ba61bee0-0f21-45cf-a6a0-d69d2e57ca0d,0,1,0,0,1,0,0,0,0,0,1,False
